HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
15115,3.248803667,4.300178,4.14,1.49,-7.33,8.85,0.23
15117,3.248831733,12.432396,7.06,19.32,-16.58,9.48,0.652
15129,3.251802467,16.255277,4.53,-16.39,-50.93,8.44,0.582
15134,3.252126933,16.303396,12.13,133.29,-78.41,8.83,0.67
15137,3.252263533,14.896601,6.13,2.88,-5.29,10.98,0.048
15153,3.255200933,14.303084,9.77,11.85,-28.15,8,0.615
15157,3.2560744,5.840719,4.21,18.6,2.49,10.17,0.542
15169,3.258736333,4.043939,9.03,39.02,26.22,9.86,0.549
15189,3.262795933,21.165141,7.62,59.12,5.16,7.91,0.359
15198,3.264808333,20.702087,3.96,3.57,-8.86,8.08,0.073
15206,3.267534933,11.628448,10.74,194.35,-14.44,8.01,0.608
15214,3.2687902,7.081866,8.31,20.08,-0.41,9.4,0.453
15227,3.272051733,19.337771,0.57,-11.9,-3.29,7.86,1.132
15233,3.273736133,13.851491,0.66,8.27,-1.26,8.47,1.542
15249,3.278508267,15.657229,15.18,111.79,-200.82,8.76,0.67
15253,3.279354533,5.019476,10.82,25.64,-268.07,9.22,0.605
15267,3.282498133,23.126759,7.86,8.72,-70.4,7.32,1.296
15268,3.282574867,22.833497,0.48,5.49,-22.17,9.14,1.249
15278,3.285143933,24.03515,18.4,107.1,6.09,8.96,0.719
15279,3.2858344,6.799888,11.88,48.41,-31.95,6.96,0.263
15283,3.286562133,15.406627,1.25,-10.87,-25.82,8.48,1.14
15288,3.287562667,10.142176,10.54,58.28,1.74,9.16,0.501
15298,3.289555733,9.105972,5.4,25.51,-1.71,9.28,1.089
15299,3.289560333,5.752984,2.66,-1.24,-27.93,10.1,0.502
15304,3.290663333,7.655808,20.2,169.3,-7.64,7.38,0.567
15310,3.292439133,7.690152,21.64,170.41,-7.48,7.78,0.617
15333,3.295927267,3.681439,4.56,27.81,-55.79,7.8,1.018
15341,3.297155133,22.832191,8.5,22.79,-43.58,7.64,0.267
15345,3.297893667,13.847227,4.21,-4.58,-2.79,7.54,0.112
15362,3.301259867,6.484326,14.7,72.71,-111,8.8,0.702
15365,3.301793533,4.969426,8.12,-15.27,-14.91,7.99,0.287
15368,3.302132467,8.04426,13.76,58.94,-3.7,11.47,0.9
15374,3.3041944,9.24515,24.54,123.52,15.81,11.91,1.341
15375,3.3042148,12.823838,5.71,10.26,-9.47,7.76,0.225
15380,3.305537067,24.081817,6.45,-29.39,-32.84,7.25,1.178
15381,3.305551,18.171623,19.19,-82.92,-103.63,7.52,0.642
15394,3.307538,15.177348,17.54,-1.48,-301.25,7.42,0.79
15395,3.307773,6.227622,4.46,0.52,3.92,10.07,0.413
15397,3.3084804,5.813875,2.82,-6.86,-10.2,9.1,1.128
15401,3.309778467,10.312375,22.66,147.35,-80.83,12.25,1.485
15412,3.31146,18.472875,15.52,38.53,-35.35,8.7,0.71
15423,3.312832067,7.393222,3.46,-11.22,-16.7,9.14,0.605
15427,3.313964867,4.209599,12.22,5.29,19.19,9,0.704
